phrase,category,risk_score
registration fee,scam_keyword,42
processing fee,scam_keyword,28
security deposit,scam_keyword,21
refundable fee,scam_keyword,26
joining fee,scam_keyword,35
offer letter fee,scam_keyword,37
training fee,scam_keyword,38
background verification fee,scam_keyword,41
payment required,scam_keyword,45
pay immediately,scam_keyword,31
urgent payment,scam_keyword,43
advance payment,scam_keyword,21
no interview,scam_keyword,44
instant hiring,scam_keyword,26
guaranteed job,scam_keyword,23
100% selection,scam_keyword,26
easy money,scam_keyword,31
work from home,scam_keyword,27
earn daily,scam_keyword,32
limited vacancies,scam_keyword,29
immediate joining,scam_keyword,40
selected candidate,scam_keyword,33
congratulations selected,scam_keyword,29
aadhaar card,sensitive_document,38
pan card,sensitive_document,28
bank details,sensitive_document,39
cancelled cheque,sensitive_document,35
passport copy,sensitive_document,32
driving licence,sensitive_document,40
voter id,sensitive_document,27
salary account details,sensitive_document,36
upi id,sensitive_document,34
credit card details,sensitive_document,34
debit card details,sensitive_document,26
otp,sensitive_document,35
whatsapp,communication_channel,29
telegram,communication_channel,29
signal app,communication_channel,29
personal gmail,communication_channel,24
private number,communication_channel,23
facebook messenger,communication_channel,25
instagram dm,communication_channel,25
sms,communication_channel,26
within 2 hours,urgency,23
today only,urgency,18
immediately,urgency,18
last chance,urgency,25
urgent response,urgency,18
deadline today,urgency,28
fake hr,domain_verification,20
unverified recruiter,domain_verification,19
third party consultant,domain_verification,16
unknown agency,domain_verification,18
outsourcing partner,domain_verification,23
last chance before onboarding,urgency,15
immediately last chance,urgency,19
upi id mandatory,sensitive_document,33
before interview upi id,sensitive_document,29
signal app before onboarding,communication_channel,21
mandatory signal app,communication_channel,19
urgent payment before joining,scam_keyword,38
for verification urgent payment,scam_keyword,23
advance payment immediately,scam_keyword,42
before onboarding advance payment,scam_keyword,21
unverified recruiter mandatory,domain_verification,18
for job confirmation unverified recruiter,domain_verification,20
private number before joining,communication_channel,22
immediately private number,communication_channel,18
training fee for job confirmation,scam_keyword,41
for offer letter training fee,scam_keyword,22
debit card details immediately,sensitive_document,28
immediately debit card details,sensitive_document,27
otp before onboarding,sensitive_document,27
before joining otp,sensitive_document,31
third party consultant mandatory,domain_verification,25
immediately third party consultant,domain_verification,19
cancelled cheque immediately,sensitive_document,31
for job confirmation cancelled cheque,sensitive_document,31
credit card details mandatory,sensitive_document,29
before interview credit card details,sensitive_document,37
private number before interview,communication_channel,24
before joining private number,communication_channel,30
limited vacancies required,scam_keyword,31
requested limited vacancies,scam_keyword,25
whatsapp for verification,communication_channel,20
required whatsapp,communication_channel,30
limited vacancies immediately,scam_keyword,27
for offer letter limited vacancies,scam_keyword,21
guaranteed job for offer letter,scam_keyword,26
required guaranteed job,scam_keyword,42
fake hr before interview,domain_verification,20
before onboarding fake hr,domain_verification,22
cancelled cheque before joining,sensitive_document,35
for verification cancelled cheque,sensitive_document,29
sms before onboarding,communication_channel,28
for offer letter sms,communication_channel,18
urgent payment immediately,scam_keyword,39
for job confirmation urgent payment,scam_keyword,22
today only before joining,urgency,26
required today only,urgency,15
unverified recruiter for job confirmation,domain_verification,16
requested unverified recruiter,domain_verification,17
urgent payment before interview,scam_keyword,40
driving licence for verification,sensitive_document,25
for offer letter driving licence,sensitive_document,33
training fee mandatory,scam_keyword,36
immediately training fee,scam_keyword,35
earn daily for offer letter,scam_keyword,26
before joining earn daily,scam_keyword,20
private number required,communication_channel,24
mandatory private number,communication_channel,18
urgent response for job confirmation,urgency,23
immediately urgent response,urgency,17
congratulations selected required,scam_keyword,32
before onboarding congratulations selected,scam_keyword,32
pay immediately before joining,scam_keyword,27
for verification pay immediately,scam_keyword,27
salary account details mandatory,sensitive_document,33
for verification salary account details,sensitive_document,37
pay immediately immediately,scam_keyword,45
for job confirmation pay immediately,scam_keyword,22
telegram for verification,communication_channel,28
immediately telegram,communication_channel,30
cancelled cheque for job confirmation,sensitive_document,37
for offer letter cancelled cheque,sensitive_document,28
work from home immediately,scam_keyword,25
for verification work from home,scam_keyword,32
pay immediately mandatory,scam_keyword,32
requested pay immediately,scam_keyword,28
personal gmail for verification,communication_channel,17
mandatory personal gmail,communication_channel,27
pay immediately before onboarding,scam_keyword,27
required pay immediately,scam_keyword,42
deadline today for verification,urgency,28
before onboarding deadline today,urgency,18
unverified recruiter required,domain_verification,22
immediately signal app,communication_channel,21
personal gmail immediately,communication_channel,16
processing fee before joining,scam_keyword,44
for job confirmation processing fee,scam_keyword,24
advance payment before onboarding,scam_keyword,31
before joining advance payment,scam_keyword,35
registration fee required,scam_keyword,24
requested registration fee,scam_keyword,34
100% selection requested,scam_keyword,44
for job confirmation 100% selection,scam_keyword,39
urgent payment required,scam_keyword,32
before interview urgent payment,scam_keyword,30
selected candidate for offer letter,scam_keyword,42
mandatory selected candidate,scam_keyword,43
today only for job confirmation,urgency,21
for job confirmation today only,urgency,19
joining fee for offer letter,scam_keyword,27
immediately joining fee,scam_keyword,43
instant hiring for offer letter,scam_keyword,38
before interview instant hiring,scam_keyword,25
registration fee before onboarding,scam_keyword,45
for offer letter registration fee,scam_keyword,20
facebook messenger required,communication_channel,15
for offer letter facebook messenger,communication_channel,25
urgent response for offer letter,urgency,16
for job confirmation urgent response,urgency,29
salary account details for job confirmation,sensitive_document,32
immediately salary account details,sensitive_document,32
refundable fee mandatory,scam_keyword,24
before interview refundable fee,scam_keyword,34
facebook messenger before interview,communication_channel,17
for verification facebook messenger,communication_channel,26
within 2 hours for offer letter,urgency,18
requested within 2 hours,urgency,17
last chance before joining,urgency,26
for job confirmation last chance,urgency,15
third party consultant for offer letter,domain_verification,25
requested third party consultant,domain_verification,24
instagram dm required,communication_channel,17
requested instagram dm,communication_channel,25
payment required for offer letter,scam_keyword,33
for job confirmation payment required,scam_keyword,33
before onboarding instagram dm,communication_channel,29
easy money for offer letter,scam_keyword,40
requested easy money,scam_keyword,20
outsourcing partner before interview,domain_verification,24
before joining outsourcing partner,domain_verification,25
for verification congratulations selected,scam_keyword,32
selected candidate before interview,scam_keyword,45
requested selected candidate,scam_keyword,40
work from home for job confirmation,scam_keyword,40
